"scientificName","decimalLongitude","decimalLatitude"
"mybo",-80.2122192383,23.1552772522
"mybo",-80.3025,27.4603
"mybo",-97.741009,24.500235
"mybo",-81.1093,24.6256
"mybo",-82.2156,9.3332
"mybo",-81.3848,13.3895
"mybo",-38.6556,-17.9591
"mybo",-81.4039,13.3716
"mybo",-78.9514,9.5588
"mybo",-39.0281,-17.4784
"mybo",-80.9629,24.6858
"mybo",-82.1191,9.2654
"mybo",-38.6936,-17.9606
"mybo",-81.0905,24.6322
"mybo",-81.1118,24.6264
"mybo",-82.8641,24.6206
"mybo",-82.943,24.6243
"mybo",-38.6556,-17.9591
"mybo",-38.6964,-17.9625
"mybo",-80.9707,24.6822
"mybo",-38.6936,-17.9606
"mybo",-80.9645,24.6855
"mybo",-38.6936,-17.9606
"mybo",-80.9645,24.6855
"mybo",-82.2156,9.3332
"mybo",-81.1093,24.6256
"mybo",-38.6713,-17.9981
"mybo",-82.8741,24.609
"mybo",-81.3848,13.3895
"mybo",-81.1093,24.6256
"mybo",-81.0297,24.6898
"mybo",-81.1118,24.6264
"mybo",-81.0297,24.6898
"mybo",-81.048,24.7078
"mybo",-81.0297,24.6898
"mybo",-82.8641,24.6206
"mybo",-82.943,24.6243
"mybo",-80.9707,24.6822
"mybo",-81.4235,13.379
"mybo",-80.9645,24.6855
"mybo",-87.835,18.269
"mybo",-87.82,18.312
"mybo",-87.835,18.268
"mybo",-87.828,18.265
"mybo",-87.835,18.27
"mybo",-87.821,18.308
"mybo",-87.827003,18.264999
"mybo",-87.976997,16.559
"mybo",-87.835,18.269
"mybo",-87.827,18.281
"mybo",-87.800003,18.360001
"mybo",-87.835,18.269
"mybo",-87.987,17.838
"mybo",-87.800003,18.360001
"mybo",-87.800003,18.360001
"mybo",-81.863889,12.139719
"mybo",-81.858606,12.163886
"mybo",-70.482799,41.354286
"mybo",-82.803333,24.575
"mybo",-80.59,28.41
"mybo",-81.35,13.425
"mybo",-89.1712646,21.3531779
"mybo",-82.875398,27.970046
"mybo",-80.325692,27.472092
"mybo",-93.8149,27.8759
"mybo",-97.205079,26.814125
"mybo",-97.182757,26.073749
"mybo",-93.6,27.9
"mybo",-86.799969,20.983078
"mybo",-93.57722,27.90028
"mybo",-93.8174,27.8741
"mybo",-97.052967,27.838023
"mybo",-74.116944,11.331361
