"decimalLongitude","decimalLatitude","spam"
-86.8,21.0333,0
-86.5004,15.9945,0
-86.48333,15.95,0
-84.3079,20.64032,0
-82.94,24.62,0
-82.93333,8.5,0
-82.87,24.61,0
-82.86,24.62,0
-82.35,9.29,0
-82.34,9.24,0
-82.34,9.29,0
-82.33,9.24,0
-82.3,9.38,0
-82.29,9.3,0
-82.28,9.3,0
-82.27,9.36,0
-82.26,9.35,0
-82.23,9.34,0
-82.22284,9.365996,0
-82.22,9.33,0
-82.12,9.27,0
-82.11,9.23,0
-82.1,9.28,0
-81.745,12.4953,0
-81.74,12.4959,0
-81.738,12.5276,0
-81.7365,12.5441,0
-81.736,12.527,0
-81.7355,12.5491,0
-81.73,12.52,0
-81.73,12.5736,0
-81.72,12.59,0
-81.717,12.4912,0
-81.697,12.549,0
-81.6969,12.5306,0
-81.693,12.5652,0
-81.69,12.58,0
-81.69,12.59,0
-81.6895,12.585,0
-81.6837,12.5859,0
-81.68,12.58,0
-81.6756,12.5951,0
-81.6737,12.5531,0
-81.59139,3.976667,0
-81.42,13.38,0
-81.42,24.54,0
-81.41,13.33,0
-81.41,24.55,0
-81.4,13.36,0
-81.4,13.37,0
-81.4,13.4,0
-81.39,19.31,0
-81.38,13.39,0
-81.37,13.4,0
-81.37,13.46,0
-81.36,13.46,0
-81.34,13.37,0
-81.34,13.38,0
-81.24985,13.21428,0
-81.24271,13.21842,0
-81.24043,13.17715,0
-81.23966,13.23903,0
-81.23426,13.26544,0
-81.23199,13.24438,0
-81.2294,13.23217,0
-81.22526,13.18906,0
-81.21603,13.30196,0
-81.21255,13.18774,0
-81.20786,13.2882,0
-81.2065,13.23114,0
-81.20539,13.26835,0
-81.20398,13.22808,0
-81.20376,13.30417,0
-81.20037,13.26772,0
-81.19483,13.27194,0
-81.19368,13.2222,0
-81.18568,13.26543,0
-81.17619,13.30587,0
-81.16083,31.61083,0
-81.1275,31.47556,0
-81.11,24.62,0
-81.11,24.63,0
-81.09417,38.14111,0
-81.09,24.63,0
-81.06,24.69,0
-81.05,24.71,0
-81.03,24.69,0
-80.99972,31.60306,0
-80.97,24.68,0
-80.96,24.69,0
-80.93667,31.53,0
-80.93528,31.64528,0
-80.45833,24.95306,0
-80.41444,24.9875,0
-80.37083,25.01389,0
-80.37,14.31,0
-80.36,14.3,0
-80.28,14.36,0
-80.26,14.46,0
-80.24,14.46,0
-80.23,14.36,0
-80.22,14.35,0
-80.19,14.41,0
-80.11,26.05,0
-80.1,26.08,0
-80.1,26.14,0
-80.09,26.16,0
-80.07,26.25,0
-78.95,9.56,0
-78.91812,20.77495,0
-78.89,9.59,0
-78.88,9.58,0
-78.87,9.58,0
-78.8498,20.76025,0
-75.636944,34.362222,0
-75.63694,34.36222,0
-73.45,-39.85,0
-73.29,-41.81,0
-73.19,-36.75,0
-73.19,-36.74,0
-72.6,-42.16,0
-72.46,-42.39,0
-72.46,-42.34,0
-72.46,-42.32,0
-72.45,-42.27,0
-72.43,-42.37,0
-72.43,-42.26,0
-72.42,-42.41,0
-72.42,-42.38,0
-72.22,21.49,0
-72.19,21.82,0
-72.18,21.82,0
-71.7,-33.36,0
-71.69,-33.36,0
-71.68,-33.37,0
-71.67,-33.36,0
-71.64,-33.5,0
-71.63,-33.5,0
-69.16,12.38,0
-69.1,12.24,0
-69.09,12.22,0
-69,12.14,0
-68.95,12.11,0
-68.89,12.08,0
-68.8,12.04,0
-68.35,12.22,0
-68.33,12.21,0
-68.32,12.21,0
-68.31,12.2,0
-68.29,12.1,0
-68.29,12.11,0
-68.29,12.13,0
-68.28,12.06,0
-68.28,12.07,0
-68.26,12.03,0
-68.25,12.03,0
-65.06,-41.96,0
-65.06,-41.95,0
-65.06,-41.94,0
-64.8104,18.3395,0
-64.81037,18.34172,0
-64.8098,18.3317,0
-64.80901,18.33025,0
-64.80812,18.33205,0
-64.807,18.32745,0
-64.8062,18.3279,0
-64.80042,18.35505,0
-64.80023,18.32594,0
-64.80016,18.33195,0
-64.7995,18.3236,0
-64.79931,18.33258,0
-64.7991,18.3499,0
-64.79909,18.32948,0
-64.79899,18.35509,0
-64.79877,18.32459,0
-64.7982,18.3432,0
-64.7975,18.35,0
-64.79741,18.34383,0
-64.79657,18.32704,0
-64.7961,18.35567,0
-64.79561,18.35272,0
-64.79556,18.35415,0
-64.79516,18.3221,0
-64.79482,18.3549,0
-64.79456,18.31973,0
-64.79438,18.35126,0
-64.79408,18.34412,0
